generation,obs_mean,obs_std,obs_var,obs_q025,obs_q975
0,0.0,0.0,0.0,0.0,0.0
1,1.2485204081632655,0.013616464391563832,0.0001854081025267258,1.2264982142857142,1.2617089285714287
2,2.496020408163265,0.019132402719450697,0.0003660488338192444,2.470932142857143,2.5207285714285717
3,3.7451392857142856,0.026377451901593126,0.0006957699688208589,3.7118410714285712,3.7883669642857143
4,4.991182142857143,0.0321763778034253,0.0010353192885487602,4.9517910714285716,5.041701785714285
5,6.232317857142857,0.03953950294431994,0.0015633722930838852,6.179629464285714,6.293411607142857
6,7.483675,0.05600882778350696,0.003136988789682541,7.412771428571428,7.568464285714286
7,8.732389285714286,0.06365716184794255,0.0040522342545351525,8.645640178571428,8.831066964285714
8,9.977682142857143,0.05730112123595849,0.003283418494898013,9.883572321428572,10.06910892857143
9,11.215750000000002,0.05053036821798275,0.0025533181122449214,11.149357142857143,11.305544642857145
10,12.461490259740259,0.05774654572872075,0.0033346635435992367,12.397678571428573,12.559178571428571
