generation,expected_switches
0,0.0
1,1.2499999999998623
2,2.4999375000001045
3,3.749812503123229
4,4.999625012500064
5,6.2493750312475616
6,7.49906256249655
7,8.748687609369533
8,9.99825017498901
9,11.24775026248026
10,12.497187874965787
