generation,observed_switches
2,3.8105357142857144
3,7.629428571428571
4,11.38275
5,15.189178571428572
6,19.011535714285714
7,22.822964285714285
8,26.630142857142857
9,30.46710714285714
10,34.253321428571425
11,38.08507142857143
