generation,obs_mean,obs_std,obs_var,obs_sem,obs_ci_lower,obs_ci_upper
0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.8804000000000003,0.233040864323072,0.05430804444444445,0.07369399191551808,3.735959775845585,4.024840224154416
2,7.686400000000001,0.2542673352551948,0.06465187777777763,0.08040639139880462,7.5288034728583435,7.843996527141658
3,11.5434,0.2393936553508099,0.057309322222222354,0.07570292083019145,11.395022275172824,11.691777724827176
4,15.3477,0.28892359620571734,0.08347684444444439,0.09136566337768494,15.168623299779737,15.526776700220262
5,19.152549999999998,0.31541466974268845,0.09948641388888924,0.0997428763816691,18.957053962291926,19.34804603770807
6,22.98485,0.2794466804637747,0.07809044722222298,0.08836879948388061,22.811647153011595,23.158052846988408
7,26.794600000000003,0.3334066419387736,0.11115998888888962,0.10543243755547416,26.58795242239127,27.001247577608734
8,30.6642,0.3020018579780967,0.09120512222222248,0.09550137288134787,30.477017309152558,30.851382690847444
9,34.4563,0.36096215560329553,0.13029367777777773,0.11414625608305237,34.232573338077216,34.68002666192278
10,38.24015,0.4245843752031716,0.1802718916666676,0.13426536845615386,37.976989877825936,38.503310122174064
